Spot #,Position 1,Position 2,Pot Type,Hand,Board
1,BTN,BB,SRP,Kh4h,3s4s5c6d2h
2,UTG,BB,SRP,Ah6h,Ad7d4h2d4c
3,SB,BB,SRP,Kd7d,6d7s5h9d7c
4,BB,BTN,SRP,Qd8d,2hKc7sKd8c
5,BB,SB,3BP,Ad5s,6c9d5dQd5h
6,SB,BB,3BP,JhTh,Kh4h7s3s4d
7,CO,BB,SRP,AhTs,7d8h4c2sQh
8,UTG,BTN,3BP,7d7h,2cAcTcKh7c
9,SB,BTN,SRP,AhJh,7sAsKd7d2c
10,HJ,BTN,3BP,Ah9h,QdQhAc4dTs
11,SB,BB,SRP,QdJd,Jh6h6sKs3d
12,BTN,CO,3BP,Jh9h,8dAdTdThJd
13,CO,HJ,3BP,TdTc,7dJd8h7h4h
14,CO,BB,SRP,AsQh,Jd2d8d4c4d
15,HJ,BTN,SRP,KsJc,Kh8h3s8s7s
16,CO,BB,4BP,AcAh,Qh9d6h9cJh
17,BTN,BB,SRP,Ks9d,3hKdAh4hQc
18,UTG,CO,SRP,9c9h,6sThKsQs5h
19,CO,BB,3BP,QdJd,JsKhThJh4c
20,CO,SB,3BP,QcJc,6hQh9cQd5h
21,BTN,SB,SRP,5s4s,9s4h2h4dAd
22,CO,SB,3BP,KhJh,3s6d7s9dTh
23,SB,CO,SRP,AcTc,5sQs7s5hJs
24,UTG,BB,SRP,Tc9c,5h7s9d8c9h
25,CO,BB,4BP,Ac2c,6sQcTsKsJh
26,HJ,BB,3BP,9h9d,Kh2s9sQcAd
27,CO,HJ,3BP,8h8d,4h3cKsKh6h
28,BB,BTN,SRP,QhTh,Qs8d5dAs5c
29,BTN,BB,SRP,Qc5c,Jh4h8d8hJs
30,CO,BB,3BP,KcJc,5d6cAs2c4c
31,BB,BTN,4BP,AdKd,2c9c7d5s6s
32,BTN,BB,SRP,Ah4d,4s2s2dKhJs
33,BB,SB,SRP,Kd3d,JhAdQsAs2c
34,UTG,BB,3BP,7c7h,Jc9h9dTs9c
35,HJ,BTN,SRP,AdJh,9s3d9hAh6h
36,SB,BB,SRP,Ks6s,KhTd6cJd8d
37,BB,BTN,SRP,7c4c,8sTs6dKdQc
38,BTN,BB,3BP,JsJc,4d3dTs9s5c
39,UTG,BB,SRP,JcTc,KdAd4dJd9s
40,CO,HJ,4BP,9d9s,4sQsTs4dKh
41,UTG,BB,SRP,QcTc,AcAs4c2c3s
42,UTG,BTN,SRP,Kd6d,Kc3hKh6s2s
